filename,eps,actual_value,Issue notes
0000004977-20-000054.html,0.78,0.78,
0000008947-20-000044.html,-0.41,-0.41,
0000046080-20-000050.html,,-0.51,Per common share and triple nested 
0000066570-20-000013.html,1.12,1.12,
0000314808-20-000062.html,-15.19,-15.19,
0000706129-20-000012.html,0.52,0.26,"I think this is wrong, not sure, multiple eps values "
0000846617-20-000024.html,0.47,0.47,
0000874766-20-000033.html,1,0.74,subscript
0000875320-20-000014.html,2.32,2.32,
0000892537-20-000010.html,0.71,0.71,
0000895419-20-000042.html,-0.57,-0.57,
0000939057-20-000186.html,2.01,2.01,
0000950103-20-008424.html,0.24,0.24,
0001008654-20-000048.html,-0.16,-0.16,
0001104659-20-052683.html,-0.42,-0.42,
0001104659-20-052792.html,,-0.03,Triple Nested table
0001104659-20-053353.html,0.65,0.65,
0001104659-20-053534.html,0.67,0.67,
0001104659-20-053563.html,3.17,3.17,
0001140361-20-010070.html,0.38,0.38,
0001141391-20-000089.html,1.68,1.68,
0001157523-20-000597.html,,-0.03,r'net\s*(?:\(loss\)\s*income|income\s*\(loss\))\s*per\s*share'
0001157523-20-000599.html,0.57,0.57,
0001157523-20-000600.html,0.11,0.11,
0001165002-20-000083.html,0.13,0.13,
0001171843-20-003035.html,-6.79,-6.79,
0001193125-20-124288.html,2.01,2.01,
0001193125-20-124568.html,0.3,0.3,
0001193125-20-126089.html,1.41,1.41,
0001193125-20-126683.html,1.52,1.52,
0001289945-20-000036.html,,-0.24,r'net\s*(?:\(loss\)\s*income|income\s*\(loss\))\s*per\s*share'
0001299709-20-000078.html,0.91,0.91,
0001323885-20-000027.html,-0.42,-0.42,
0001373715-20-000098.html,0.25,0.25,
0001423689-20-000040.html,-3.61,-3.61,
0001436425-20-000011.html,0.42,0.21,don't want to add these don't think 
0001538263-20-000014.html,-1,-1,subscript
0001564590-20-019396.html,-3.15,-3.15,
0001564590-20-019421.html,-0.24,-0.24,
0001564590-20-019431.html,1.08,1.08,
0001564590-20-019442.html,1,1,
0001564590-20-019726.html,0.08,0.08,
0001564590-20-019755.html,2,2,
0001564590-20-019760.html,-2.21,-2.21,
0001576427-20-000032.html,0.62,0.62,
0001620459-20-000067.html,-1.21,-1.21,
0001678463-20-000062.html,-0.22,-0.22,
0001691303-20-000019.html,0.42,0.42,
0001720635-20-000018.html,,0.11,
0001722482-20-000089.html,0.05,0.05,
